Env,obs0,obs1,obs2,ctr0,ctr1,metric
E024,-0.016763598,2.220238518,4.027849163,0,2,0.033391198
E024,-0.093567147,1.968555283,4.02098602,0,2,0.033391198
E024,0.134556056,2.133148933,3.938338799,0,2,0.033391198
E024,-0.004618013,1.893843529,3.991861465,0,2,0.033391198
E024,-0.023871516,2.05529098,4.017019699,0,2,0.033391198
E024,-0.062827552,2.148001766,4.010475356,0,2,0.033391198
E024,-0.243850959,2.011979712,3.968294189,0,2,0.033391198
E024,-0.036994211,1.797810566,3.856082623,0,2,0.033391198
E024,-0.002240295,2.046502689,3.962492009,0,2,0.033391198
E024,-0.12343313,1.861472871,4.072065851,0,2,0.033391198
E024,-0.117966839,2.006425946,3.965171265,0,2,0.033391198
E024,0.062120834,1.819525005,3.939951027,0,2,0.033391198
E024,-0.021744071,1.899867868,4.035270924,0,2,0.033391198
E024,0.059771506,1.933201237,4.121433367,0,2,0.033391198
E024,0.231703727,2.155160495,3.990098329,0,2,0.033391198
E024,-0.071771358,2.016719451,3.950761976,0,2,0.033391198
E024,-0.016839494,2.189199985,3.986191354,0,2,0.033391198
E024,-0.052511056,1.866740538,3.953615026,0,2,0.033391198
E024,0.043068966,1.909508451,3.856530795,0,2,0.033391198
E024,-0.146516001,2.045756456,3.973092573,0,2,0.033391198
E024,0.121184192,1.9943405,3.972002716,0,2,0.033391198
E024,-0.017182378,2.039758874,4.091817982,0,2,0.033391198
E024,0.016914781,1.963537209,4.180213721,0,2,0.033391198
E024,-0.041997504,2.20061867,4.024967184,0,2,0.033391198
E024,-0.111809323,1.873367789,3.958084026,0,2,0.033391198
E024,0.115071865,1.984399118,3.878629296,0,2,0.033391198
E024,-0.000701607,2.133272694,4.095811866,0,2,0.033391198
E024,-0.001334328,1.853742734,3.822962081,0,2,0.033391198
E024,0.036772465,2.017096457,3.971992692,0,2,0.033391198
E024,0.082649438,1.920677581,4.042355176,0,2,0.033391198
E024,0.124587469,1.940399452,4.005871525,0,2,0.033391198
